,1/10/20,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,12/08/19,12/11/19,12/12/19,12/15/19,12/17/19,12/18/19,12/19/19,12/20/19,12/21/19,12/22/19,12/23/19,12/24/19,12/25/19,12/26/19,12/27/19,12/28/29,12/29/19,12/30/19,12/31/19,2/1/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/2/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,Lat,Long,Province/State,city_county_state,country,lat_long
0,1,1.0,9.0,15.0,39.0,60.0,70.0,106.0,152.0,200.0,237.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297.0,830.0,860.0,889.0,910.0,934.0,950.0,962.0,973.0,982.0,986.0,340.0,987.0,988.0,989.0,989.0,989.0,989.0,989.0,989.0,408.0,480.0,530.0,591.0,665.0,733.0,779.0,31.8257,117.2264,Anhui,"Lianhua Community, 合肥政务文化新区, Anhui",China,"31.8257,117.2264"
1,1,14.0,22.0,36.0,41.0,68.0,80.0,91.0,111.0,114.0,139.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.0,337.0,342.0,352.0,366.0,372.0,375.0,380.0,381.0,387.0,393.0,191.0,395.0,396.0,399.0,399.0,399.0,400.0,400.0,410.0,212.0,228.0,253.0,274.0,297.0,315.0,326.0,40.1824,116.4142,Beijing,", Changping District, Beijing",China,"40.1824,116.4142"
2,1,6.0,9.0,27.0,57.0,75.0,110.0,132.0,147.0,182.0,211.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247.0,486.0,505.0,518.0,529.0,537.0,544.0,551.0,553.0,555.0,560.0,300.0,567.0,572.0,573.0,575.0,576.0,576.0,576.0,576.0,337.0,366.0,389.0,411.0,426.0,428.0,468.0,30.0572,107.874,Chongqing,", Fengdu County, Chongqing",China,"30.0572,107.874"
3,1,1.0,5.0,10.0,18.0,35.0,59.0,80.0,84.0,101.0,120.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.0,261.0,267.0,272.0,279.0,281.0,285.0,287.0,290.0,292.0,293.0,159.0,293.0,293.0,293.0,293.0,293.0,294.0,294.0,296.0,179.0,194.0,205.0,215.0,224.0,239.0,250.0,26.0789,117.9874,Fujian,"Sanming City, Youxi County, Fujian",China,"26.0789,117.9874"
4,1,0.0,2.0,2.0,4.0,7.0,14.0,19.0,24.0,26.0,29.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,83.0,86.0,87.0,90.0,90.0,90.0,90.0,91.0,91.0,91.0,51.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,55.0,57.0,62.0,62.0,67.0,79.0,83.0,36.0611,103.8343,Gansu,"Guangwumen Subdistrict, Chengguan District, Gansu",China,"36.0611,103.8343"
5,1,26.0,32.0,53.0,78.0,111.0,151.0,207.0,277.0,354.0,436.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535.0,1159.0,1177.0,1219.0,1241.0,1261.0,1294.0,1316.0,1322.0,1328.0,1331.0,632.0,1332.0,1333.0,1339.0,1342.0,1345.0,1347.0,1347.0,1347.0,725.0,813.0,895.0,970.0,1034.0,1095.0,1131.0,23.3417,113.4244,Guangdong,"Guangzhou City, Baiyun District, Guangdong",China,"23.3417,113.4244"
6,1,2.0,5.0,23.0,23.0,36.0,46.0,51.0,58.0,78.0,87.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,210.0,215.0,222.0,222.0,226.0,235.0,237.0,238.0,242.0,244.0,111.0,245.0,246.0,249.0,249.0,251.0,252.0,252.0,252.0,127.0,139.0,150.0,168.0,172.0,183.0,195.0,23.8298,108.7881,Guangxi,", Xincheng County, Guangxi",China,"23.8298,108.7881"
7,0,1.0,3.0,3.0,4.0,5.0,7.0,9.0,9.0,12.0,29.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0,109.0,127.0,133.0,135.0,140.0,143.0,144.0,146.0,146.0,146.0,38.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,46.0,58.0,64.0,71.0,81.0,89.0,99.0,26.8154,106.8748,Guizhou,"Guiyang City, Wudang District, Guizhou",China,"26.8154,106.8748"
8,1,4.0,5.0,8.0,19.0,22.0,33.0,40.0,43.0,46.0,52.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.0,138.0,144.0,157.0,157.0,159.0,162.0,162.0,163.0,163.0,168.0,64.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,72.0,80.0,99.0,106.0,117.0,124.0,131.0,19.1959,109.7453,Hainan,", Qiongzhong Li and Miao Autonomous County, Hainan",China,"19.1959,109.7453"
9,1,1.0,1.0,2.0,8.0,13.0,18.0,33.0,48.0,65.0,82.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.0,218.0,239.0,251.0,265.0,283.0,291.0,300.0,301.0,306.0,306.0,104.0,307.0,308.0,309.0,311.0,311.0,311.0,312.0,317.0,113.0,126.0,135.0,157.0,172.0,195.0,206.0,38.0428,114.5149,Hebei,"Shijiazhuang City, Qiaoxi District, ",China,"38.0428,114.5149"
10,1,0.0,2.0,4.0,9.0,15.0,21.0,33.0,38.0,44.0,59.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,331.0,360.0,378.0,395.0,419.0,425.0,445.0,457.0,464.0,470.0,95.0,476.0,479.0,479.0,480.0,480.0,480.0,480.0,480.0,121.0,155.0,190.0,227.0,277.0,295.0,307.0,47.862,127.7615,Heilongjiang,"通北林业局, Bei'an City, Heilongjiang",China,"47.861999999999995,127.7615"
11,1,5.0,5.0,9.0,32.0,83.0,128.0,168.0,206.0,278.0,352.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422.0,1073.0,1105.0,1135.0,1169.0,1184.0,1212.0,1231.0,1246.0,1257.0,1262.0,493.0,1265.0,1267.0,1270.0,1271.0,1271.0,1271.0,1271.0,1272.0,566.0,675.0,764.0,851.0,914.0,981.0,1033.0,33.882020000000004,113.614,Henan,", Xiangcheng County, Henan",China,"33.882020000000004,113.61399999999999"
12,0,444.0,444.0,549.0,761.0,1058.0,1423.0,3554.0,3554.0,4903.0,5806.0,1,2,5,8,12,14,16,25,29,37,40,45,47,49,59,68,78,90,104,7153.0,31728.0,33366.0,33366.0,48206.0,54406.0,56249.0,58182.0,59989.0,61682.0,62031.0,11177.0,62442.0,62662.0,64084.0,64084.0,64287.0,64786.0,65187.0,65596.0,13522.0,16678.0,19665.0,22112.0,24953.0,27100.0,29631.0,30.9756,112.2707,Hubei,", Duodao District, Hubei",China,"30.9756,112.2707"
13,1,4.0,9.0,24.0,43.0,69.0,100.0,143.0,221.0,277.0,332.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389.0,879.0,912.0,946.0,968.0,988.0,1001.0,1004.0,1006.0,1007.0,1008.0,463.0,1010.0,1011.0,1013.0,1016.0,1016.0,1016.0,1016.0,1017.0,521.0,593.0,661.0,711.0,772.0,803.0,838.0,27.6104,111.7088,Hunan,"Loudi City, Lianyuan City, ",China,"27.6104,111.7088"
